id,origen,destino,distancia,tiempo_estimado,costo,velocidad_promedio,congestion,disponible,incidentes,tipo_via,nombre_via,carriles,sentido_unico,peaje,restricciones,geometria
1067969762,268152908,11599890959,23.401001103326404,0.028081201323991684,0.0,30.0,baja,True,0,secundaria,Calle 76,2.0,True,False,[],"[[-74.06483, 4.6665023], [-74.0648284, 4.6665766], [-74.0648267, 4.6666526], [-74.0648254, 4.6667127]]"
28458247,268152921,312649721,58.89813243969198,0.07067775892763037,0.0,45.0,baja,True,0,terciaria,Calle 78,2.0,True,False,[],"[[-74.0696711, 4.671805], [-74.0696247, 4.6717742], [-74.0692293, 4.6715106]]"
89901822,268153039,13383492234,40.98721890131616,0.049184662681579394,0.0,50.0,baja,True,0,secundaria,Avenida Carrera 24,3.0,True,False,[],"[[-74.0634079, 4.669271], [-74.0634251, 4.6691541], [-74.063444, 4.6690257], [-74.0634616, 4.6689063]]"
"[1049465109, 914670062]",268153039,5108574984,48.88386900354366,0.058660642804252386,0.0,70.0,baja,True,0,troncal,Avenida Calle 80,2.0,True,False,[],"[[-74.0634079, 4.669271], [-74.0634664, 4.6693399], [-74.0636927, 4.6696067]]"
1386360177,268153045,7989874524,11.785256501775107,0.014142307802130128,0.0,30.0,baja,True,0,residencial,Carrera 23,2.0,True,False,[],
1386360178,268153045,12496016371,82.83807851997872,0.09940569422397447,0.0,30.0,baja,True,0,secundaria,Avenida Calle 72,2.0,True,False,[],"[[-74.0664241, 4.662627], [-74.0664769, 4.662664], [-74.0669762, 4.6630101], [-74.067009, 4.6630329], [-74.0670375, 4.6630527]]"
"[71562890, 86670491]",268153063,851251660,101.40973754656834,0.121691685055882,0.0,30.0,baja,True,0,residencial,Calle 81,,False,False,[],"[[-74.0606115, 4.6686738], [-74.0606872, 4.6686871], [-74.0611081, 4.6687612], [-74.0611781, 4.6683578]]"
"[672573105, 86670531]",268153063,13859007793,126.40490076864005,0.15168588092236807,0.0,45.0,baja,True,0,terciaria,Carrera 20,1.0,True,False,[],"[[-74.0606115, 4.6686738], [-74.0607018, 4.6682074], [-74.0607697, 4.6678802], [-74.0607821, 4.6678414], [-74.0607974, 4.6678148], [-74.0608091, 4.6678052], [-74.0608261, 4.6677969], [-74.0608562, 4.6677893], [-74.0610476, 4.6678043]]"
627031723,268153063,13252260181,73.51194427289053,0.08821433312746864,0.0,40.0,baja,True,0,otro,,1.0,True,False,[],"[[-74.0606115, 4.6686738], [-74.060595, 4.668533], [-74.060584, 4.6684213], [-74.0605832, 4.6683278], [-74.0605972, 4.6680145]]"
89623406#1,268230382,263471068,107.43397854989837,0.12892077425987805,0.0,45.0,baja,True,0,terciaria,Calle 69,2.0,True,False,[],"[[-74.0599441, 4.6533079], [-74.0592549, 4.6526989], [-74.0592187, 4.652667]]"
1176611620,268230525,889749397,25.846692251852787,0.031016030702223345,0.0,30.0,baja,True,0,secundaria,Avenida Carrera 13,3.0,True,False,[],
