id,nombre,latitud,longitud,tipo,accesible
312662782,Nodo 312662782,4.6698375,-74.0700563,interseccion,True
312662920,Nodo 312662920,4.6696476,-74.0663377,interseccion,True
312662921,Nodo 312662921,4.6689912,-74.0669191,interseccion,True
312662922,Nodo 312662922,4.667932,-74.0678174,interseccion,True
312662923,Nodo 312662923,4.6674747,-74.0681908,interseccion,True
312662925,Nodo 312662925,4.6670687,-74.0685372,interseccion,True
312663001,Nodo 312663001,4.6688753,-74.0651373,interseccion,True
312663002,Nodo 312663002,4.6681458,-74.0656067,interseccion,True
312663003,Nodo 312663003,4.6675076,-74.066027,interseccion,True
312663004,Nodo 312663004,4.6670145,-74.0663544,interseccion,True
312663005,Nodo 312663005,4.6665062,-74.066682,interseccion,True
312663006,Nodo 312663006,4.6660394,-74.0669903,interseccion,True
312663007,Nodo 312663007,4.6656199,-74.0673311,interseccion,True
312663044,Nodo 312663044,4.6671758,-74.065529,interseccion,True
312663045,Nodo 312663045,4.6685525,-74.0646407,interseccion,True
312663046,Nodo 312663046,4.6678187,-74.0651142,interseccion,True
312663047,Nodo 312663047,4.6666781,-74.0658501,interseccion,True
312663048,Nodo 312663048,4.666179,-74.0661721,interseccion,True
312663049,Nodo 312663049,4.665705,-74.066478,interseccion,True
312663050,Nodo 312663050,4.6653329,-74.0668849,interseccion,True
312663066,Nodo 312663066,4.6650664,-74.0664706,interseccion,True
312663078,Nodo 312663078,4.6640513,-74.0665555,interseccion,True
314145160,Nodo 314145160,4.670539,-74.0655693,interseccion,True
314145162,Nodo 314145162,4.6719805,-74.0679376,interseccion,True
314145164,Nodo 314145164,4.6723428,-74.0685133,interseccion,True
314145295,Nodo 314145295,4.671892,-74.0658992,interseccion,True
314145536,Nodo 314145536,4.6678782,-74.0622788,interseccion,True
314145669,Nodo 314145669,4.6678841,-74.0620149,interseccion,True
314146038,Nodo 314146038,4.6706294,-74.0602826,interseccion,True
314146079,Nodo 314146079,4.6707056,-74.0607924,interseccion,True
314146150,Nodo 314146150,4.672269,-74.0614566,interseccion,True
314146484,Nodo 314146484,4.6713429,-74.0631999,interseccion,True
327871421,Nodo 327871421,4.6698481,-74.0567673,interseccion,True
327915650,Nodo 327915650,4.6710785,-74.0574827,interseccion,True
327915816,Nodo 327915816,4.6708175,-74.0569396,interseccion,True
327916030,Nodo 327916030,4.6699947,-74.0580016,interseccion,True
339058332,Nodo 339058332,4.6664213,-74.068703,interseccion,True
339058335,Nodo 339058335,4.6650298,-74.0696598,interseccion,True
339058337,Nodo 339058337,4.6646223,-74.0693029,interseccion,True
354855989,Nodo 354855989,4.6656342,-74.0634714,interseccion,True
354855992,Nodo 354855992,4.6637727,-74.0644877,interseccion,True
